Date,Price
2023-01-02,82.82
2023-01-03,80.36
2023-01-04,75.31
2023-01-05,76.73
2023-01-06,76.41
2023-01-09,77.5
2023-01-10,78.4
2023-01-11,81.11
2023-01-12,82.59
2023-01-13,83.43
2023-01-16,82.65
2023-01-17,84.38
2023-01-18,83.78
2023-01-19,85.08
2023-01-20,86.96
2023-01-23,87.96
2023-01-24,85.25
2023-01-25,85.08
2023-01-26,86.29
2023-01-27,85.36
2023-01-30,84.9
2023-01-31,83.42
2023-02-01,81.61
2023-02-02,80.57
2023-02-03,78.85
2023-02-06,80.48
2023-02-07,82.92
2023-02-08,84.17
2023-02-09,83.46
2023-02-10,85.46
2023-02-13,85.98
2023-02-14,84.96
2023-02-15,84.11
2023-02-16,83.84
2023-02-17,81.97
2023-02-20,82.79
2023-02-21,82.14
2023-02-22,79.55
2023-02-23,82.08
2023-02-24,82.31
2023-02-27,81.24
2023-02-28,83.21
2023-03-01,83.68
2023-03-02,84.15
2023-03-03,85.74
2023-03-06,85.86
2023-03-07,83.03
2023-03-08,82.1
2023-03-09,81.0
2023-03-10,82.3
2023-03-13,79.67
2023-03-14,76.77
2023-03-15,74.3
2023-03-16,73.12
2023-03-17,71.03
2023-03-20,72.42
2023-03-21,74.78
2023-03-22,76.08
2023-03-23,74.31
2023-03-24,73.63
2023-03-27,76.8
2023-03-28,78.07
2023-03-29,77.51
2023-03-30,78.45
2023-03-31,79.19
2023-04-03,85.81
2023-04-04,85.7
2023-04-05,85.89
2023-04-06,86.56
2023-04-10,86.56
2023-04-11,87.32
2023-04-12,88.31
2023-04-13,86.51
2023-04-14,87.31
2023-04-17,85.63
2023-04-18,85.48
2023-04-19,85.34
2023-04-20,83.29
2023-04-21,83.36
2023-04-24,84.23
2023-04-25,82.13
2023-04-26,79.19
2023-04-27,80.11
2023-04-28,81.32
2023-05-02,76.71
2023-05-03,72.91
2023-05-04,73.0
2023-05-05,75.85
2023-05-09,77.76
2023-05-10,76.7
2023-05-11,75.32
2023-05-12,74.54
2023-05-15,75.46
2023-05-16,75.15
2023-05-17,76.98
2023-05-18,75.75
2023-05-19,75.42
2023-05-22,75.77
2023-05-23,76.66
2023-05-24,77.99
2023-05-25,75.66
2023-05-26,76.33
2023-05-30,73.38
2023-05-31,71.98
2023-06-01,74.18
2023-06-02,76.0
2023-06-05,76.61
2023-06-06,76.22
2023-06-07,76.85
2023-06-08,75.88
2023-06-09,74.74
2023-06-12,71.8
2023-06-13,74.24
2023-06-14,73.39
2023-06-15,75.75
2023-06-16,76.76
2023-06-19,76.09
2023-06-20,75.79
2023-06-21,76.92
2023-06-22,73.93
2023-06-23,73.56
2023-06-26,73.86
2023-06-27,71.88
2023-06-28,73.64
2023-06-29,73.86
2023-06-30,74.51
2023-07-03,74.52
2023-07-04,76.23
2023-07-05,76.74
2023-07-06,76.72
2023-07-07,78.77
2023-07-08,77.83
2023-07-10,77.83
2023-07-11,79.54
2023-07-12,80.35
2023-07-13,81.31
2023-07-14,79.9
2023-07-15,77.8
2023-07-17,77.8
2023-07-18,79.54
2023-07-19,79.38
2023-07-20,79.62
2023-07-21,81.06
2023-07-24,82.53
2023-07-25,83.46
2023-07-26,82.98
2023-07-27,84.28
2023-07-28,84.49
2023-07-31,85.22
2023-08-01,85.34
2023-08-02,84.01
2023-08-03,86.19
2023-08-04,87.38
2023-08-07,86.47
2023-08-08,88.0
2023-08-09,89.31
2023-08-10,87.44
2023-08-11,87.93
2023-08-14,87.4
2023-08-15,86.28
2023-08-16,84.49
2023-08-17,85.24
2023-08-18,85.92
2023-08-21,85.44
2023-08-22,84.7
2023-08-23,83.94
2023-08-24,84.07
2023-08-25,85.42
2023-08-29,86.37
2023-08-30,86.62
2023-08-31,87.29
2023-09-04,90.42
2023-09-05,91.25
2023-09-06,91.79
2023-09-07,91.16
2023-09-08,91.85
2023-09-11,91.97
2023-09-12,93.58
2023-09-13,93.04
2023-09-14,95.2
2023-09-15,95.55
2023-09-18,95.95
2023-09-19,96.11
2023-09-20,94.56
2023-09-21,93.7
2023-09-22,93.99
2023-09-25,94.01
2023-09-26,94.46
2023-09-27,97.1
2023-09-28,96.55
2023-09-29,95.86
2023-10-02,91.21
2023-10-03,94.46
2023-10-04,89.83
2023-10-05,88.28
2023-10-06,87.86
2023-10-09,91.37
2023-10-10,90.7
2023-10-11,87.58
2023-10-12,88.4
2023-10-13,94.33
2023-10-16,90.99
2023-10-17,92.52
2023-10-18,91.99
2023-10-19,93.12
2023-10-20,93.72
2023-10-23,91.88
2023-10-24,88.0
2023-10-25,90.14
2023-10-26,88.45
2023-10-27,90.73
2023-10-30,90.73
2023-11-06,87.31
2023-11-07,83.43
2023-11-08,81.46
2023-11-09,81.74
2023-11-10,83.66
2023-11-13,84.09
2023-11-14,84.2
2023-11-15,82.4
2023-11-16,77.73
2023-11-17,81.22
2023-11-20,83.25
2023-11-21,82.42
2023-11-22,81.76
2023-11-23,80.85
2023-11-24,79.82
2023-11-27,79.49
2023-11-28,81.66
2023-11-29,82.98
2023-11-30,81.72
2023-12-01,78.72
2023-12-04,78.16
2023-12-05,77.27
2023-12-06,74.33
2023-12-07,74.21
2023-12-08,75.94
2023-12-11,75.75
2023-12-12,74.11
2023-12-13,74.14
2023-12-14,77.05
2023-12-15,76.84
2023-12-18,78.89
2023-12-19,79.82
2023-12-20,81.1
2023-12-21,80.73
2023-12-22,80.23
2023-12-26,80.23
2023-12-27,80.97
2023-12-28,79.04
2023-12-29,77.69
2024-01-02,76.24
2024-01-03,77.18
2024-01-04,75.79
2024-01-05,78.31
2024-01-08,75.47
2024-01-09,77.97
2024-01-10,78.46
2024-01-11,80.21
2024-01-12,79.89
2024-01-15,79.76
2024-01-16,80.15
2024-01-17,78.88
2024-01-18,81.04
2024-01-19,80.71
2024-01-22,81.7
2024-01-23,82.04
2024-01-24,82.15
2024-01-25,82.33
2024-01-26,83.34
2024-01-29,83.99
2024-01-30,84.14
2024-01-31,82.98
2024-02-01,82.2
2024-02-02,79.54
2024-02-05,79.3
2024-02-06,80.46
2024-02-07,81.18
2024-02-08,83.01
2024-02-09,83.58
2024-02-12,83.88
2024-02-13,84.72
2024-02-14,84.41
2024-02-15,84.33
2024-02-16,84.88
2024-02-19,85.52
2024-02-20,84.78
2024-02-21,84.77
2024-02-22,85.84
2024-02-23,84.18
2024-02-26,84.01
2024-02-27,83.8
2024-02-28,84.08
2024-02-29,84.57
2024-03-01,84.82
2024-03-04,86.58
2024-03-05,85.82
2024-03-06,86.59
2024-03-07,84.88
2024-03-08,84.29
2024-03-11,83.44
2024-03-12,83.66
2024-03-13,83.95
2024-03-14,86.16
2024-03-15,85.39
2024-03-18,86.47
2024-03-19,87.36
2024-03-20,85.77
2024-03-21,84.92
2024-03-22,84.87
2024-03-25,86.18
2024-03-26,85.91
2024-03-27,84.94
2024-03-28,86.17
2024-04-02,87.63
2024-04-03,90.6
2024-04-04,90.32
2024-04-05,92.81
2024-04-08,91.73
2024-04-09,92.13
2024-04-10,91.57
2024-04-11,91.49
2024-04-12,93.12
2024-04-15,90.84
2024-04-16,91.29
2024-04-17,89.54
2024-04-18,88.34
2024-04-19,87.96
2024-04-22,87.3
2024-04-23,88.29
2024-04-24,89.02
2024-04-25,88.1
2024-04-26,89.95
2024-04-29,88.44
2024-04-30,88.23
2024-05-01,83.55
2024-05-02,84.81
2024-05-03,83.6
